
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16945.7, 265.479, 8,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 17306.5, 10.47, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 17529.8, 0.178, 14,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16833, 365.186, 14,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 17420.3, 22.892, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 16472.7, 0.163, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16202.9, 240.14, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 16472.7, 9.951, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 22020, 0.144, 12,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 20639.3, 205.015, 12,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 21992.4, 15.469, 2,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 17038.9, 0.117, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16702.7, 282.503, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 17038.9, 9.58, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 17241.4, 0.103, 7,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16601.5, 376.71, 7,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 17241.4, 8.364, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 22784.7, 0.211, 19,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 21016.5, 375.212, 19,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 22784.7, 9.536, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 24745.4, 0.095, 8,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 23320.4, 244.227, 8,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 24745.4, 11.279, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 15941.3, 305.842, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 15349.1, 365.925, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 15941.3, 8.038, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 15319.5, 334.956, 14,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 14847.2, 296.667, 14,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 15265, 21.798, 2,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 13753, 530.033, 27,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 13634, 156.035, 27,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 13753, 12.721, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 16866.3, 824.682, 27,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16455.1, 305.641, 27,
