
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 5623.61, 3.701, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 5682.98, 0.722, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 6419.16, 0.01, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 6348.23, 3.19, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 6419.16, 0.621, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 13906.5, 0.01, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 12820.9, 7.081, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 13901, 1.232, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 14850.3, 2.038, 1001,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 13680.4, 9.308, 1001,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 14850.3, 0.575, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 6209.28, 0.009, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 6194.92, 0.923, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 6209.28, 0.942, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 5646.03, 0.008, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 5601.49, 2.762, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 5646.03, 0.668, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, JMeans, 7353.25, 1.373, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 7053.37, 11.557, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 7353.25, 0.511, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, JMeans, 14450.6, 0.954, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 13172.3, 8.775, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 14450.6, 0.606, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, JMeans, 6620.64, 1.857, 9,
