
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9097.54, 0.918, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9098.02, 3.069, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Farthest, 26814.7, 0.028, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 20689.2, 27.531, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 26814.7, 0.609, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Density, 10752.1, 4.395, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 10752.1, 0.357, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 10743.3, 7.868, 5,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 8837.13, 0.026, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 8785.75, 5.64, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 8837.13, 1.179, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 9404.01, 0.023, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 9361.07, 5.524, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 9404.01, 1.375, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 20164.4, 0.022, 6,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 19294.9, 23.583, 6,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 20164.4, 0.581, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 19355.9, 0.022, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 18449.4, 9.286, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 19349.8, 3.992, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 10836.2, 0.026, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 10799.9, 4.881, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 10836.2, 1.4, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 11191.8, 0.029, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 10663.7, 10.915, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 11189, 3.504, 4,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 10687.9, 0.029, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 10558, 9.256, 8,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 10687.9, 0.865, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 9456.45, 0.03, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 9234.76, 12.809, 9,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 9456.45, 0.788, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 10610.7, 0.029, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 10567.5, 5.055, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 10610.7, 1.526, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, HMeans, 9442.55, 0.022, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 9308.39, 10.271, 7,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 9442.55, 1.019, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, JMeans, 9026.43, 19.465, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 8986.37, 4.082, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 9026.43, 1.055, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, JMeans, 10050.6, 31.269, 19,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 9925.8, 12.655, 19,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 10050.6, 1.102, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, JMeans, 9419.77, 27.283, 17,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 9312.38, 10.144, 17,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 9341.24, 2.687, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, JMeans, 18299.9, 21.121, 14,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 17572.9, 6.886, 14,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 18299.9, 1.397, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, JMeans, 11023, 20.873, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Interchange, 10577.6, 20.715, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.3, Hill Climb with Shift, 11023, 0.834, 1,
